osmid,oneway,lanes,ref,name,highway,length,geometry,maxspeed
271869796,False,4,,Calle Luis Moya,secondary,14.264999999999999,"LINESTRING (-99.1461625 19.4271127, -99.1461481 19.4271843, -99.1461381 19.4272389)",
"[391847329, 903409237]",False,4,,Avenida Doctor José María Vértiz,secondary,201.44299999999998,"LINESTRING (-99.1461625 19.4271127, -99.14628570000001 19.426336, -99.1463037 19.4262243, -99.14642259999999 19.4254877, -99.14644939999999 19.4253214)",
904255515,True,2,,Calle Doctor Barragán,residential,213.724,"LINESTRING (-99.1429801 19.4268002, -99.1433763 19.4249148)",
24703741,True,3,EJE 1A SUR,Avenida Arcos de Belén,trunk,146.274,"LINESTRING (-99.1429801 19.4268002, -99.1443034 19.426931, -99.14436739999999 19.4269372)",
866731820,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,40.724,"LINESTRING (-99.1420847 19.4265761, -99.14199619999999 19.4269327)",
24703741,True,3,EJE 1A SUR,Avenida Arcos de Belén,trunk,97.729,"LINESTRING (-99.1420847 19.4265761, -99.14215179999999 19.4265892, -99.1422618 19.4266215, -99.1423593 19.4266576, -99.1425086 19.4267214, -99.1426068 19.4267481, -99.1429801 19.4268002)",
904261096,True,3,EJE 1A SUR,Avenida Arcos de Belén,trunk,28.26,"LINESTRING (-99.14295439999999 19.4269307, -99.1432227 19.4269546)",
904261095,True,2,,Calle López,residential,14.762,"LINESTRING (-99.14295439999999 19.4269307, -99.14296539999999 19.4268682, -99.1429801 19.4268002)",
271869796,False,4,,Calle Luis Moya,secondary,14.264999999999999,"LINESTRING (-99.1461381 19.4272389, -99.1461481 19.4271843, -99.1461625 19.4271127)",
618028623,True,2,,Calle Luis Moya,tertiary,61.218,"LINESTRING (-99.1461381 19.4272389, -99.1461319 19.427273, -99.14603990000001 19.4277816)",
866741063,True,3,EJE 1A SUR,Avenida Arcos de Belén,trunk,131.33,"LINESTRING (-99.1461381 19.4272389, -99.14621270000001 19.4272455, -99.1473218 19.4273138, -99.1473876 19.4273186)",
24703903,True,,,Calle López,residential,163.165,"LINESTRING (-99.14185999999999 19.4343941, -99.1418285 19.4343552, -99.14181240000001 19.4343178, -99.1418067 19.4342775, -99.14181240000001 19.4342214, -99.1420662 19.4329629)",
616921713,True,3,,Avenida Juárez,secondary,107.20800000000001,"LINESTRING (-99.14185999999999 19.4343941, -99.141029 19.434265, -99.14099160000001 19.4342592, -99.1409724 19.4342563, -99.1408512 19.4342374)",
904255514,True,2,,Calle Doctor Barragán,residential,17.654,"LINESTRING (-99.1433763 19.4249148, -99.1434113 19.4247595)",
903409238,True,3,EJE 1 SUR,Avenida Doctor Río de la Loza,trunk,89.97099999999999,"LINESTRING (-99.1433763 19.4249148, -99.1425916 19.4248165, -99.1425258 19.4248083)",
866466954,True,3,EJE 1 SUR,Avenida Doctor Río de la Loza,trunk,89.528,"LINESTRING (-99.1434113 19.4247595, -99.14262739999999 19.4246632, -99.14256469999999 19.4246556)",
904259093,True,2,,Calle Simón Bolívar,tertiary,8.416,"LINESTRING (-99.1394028 19.4265396, -99.1394128 19.4264645)",
904259094,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,277.454,"LINESTRING (-99.1394028 19.4265396, -99.1413069 19.4267095, -99.14136929999999 19.4267271, -99.1415356 19.426808, -99.1416766 19.4268621, -99.1418213 19.4269029, -99.1419451 19.4269243, -99.14199619999999 19.4269327)",
387049360,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,99.809,"LINESTRING (-99.1394128 19.4264645, -99.1403608 19.4265445)",60
866469053,True,2,,Calle Simón Bolívar,tertiary,106.14,"LINESTRING (-99.1394128 19.4264645, -99.1395471 19.4255184)",
24847028,True,2,,Calle Simón Bolívar,tertiary,92.44,"LINESTRING (-99.1384633 19.4324842, -99.1385719 19.4316592)",
24715603,True,1,,16 de Septiembre,residential,276.843,"LINESTRING (-99.1384633 19.4324842, -99.13957499999999 19.4326215, -99.14108090000001 19.4328086)",
24847004,True,,,Calle Nezahualcóyotl,residential,96.577,"LINESTRING (-99.1395471 19.4255184, -99.1404644 19.4255958)",
866469053,True,2,,Calle Simón Bolívar,tertiary,69.425,"LINESTRING (-99.1395471 19.4255184, -99.1396563 19.4249026)",
24849974,True,2,,Calle Tacuba,tertiary,216.78199999999998,"LINESTRING (-99.13595890000001 19.4354127, -99.13697879999999 19.4355544, -99.1380011 19.4357154)",
24715603,True,1,,16 de Septiembre,residential,213.597,"LINESTRING (-99.13644549999999 19.4322222, -99.13749129999999 19.4323477, -99.1384633 19.4324842)",
856041977,True,1,,Calle Isabel la Católica,tertiary,7.239,"LINESTRING (-99.13644549999999 19.4322222, -99.13645080000001 19.432192, -99.1364421 19.4321585)",
24714067,True,,,Calle Palma,residential,98.767,"LINESTRING (-99.1353972 19.4320963, -99.1355236 19.4312161)",
856041979,True,1,,16 de Septiembre,residential,107.764,"LINESTRING (-99.1353972 19.4320963, -99.1364167 19.4322184)",
387049360,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,140.3,"LINESTRING (-99.137325 19.4262726, -99.1386566 19.426395)",60
904258811,True,2,,Calle Isabel la Católica,tertiary,8.835,"LINESTRING (-99.137325 19.4262726, -99.13731420000001 19.4263514)",
"[904259092, 617887678]",True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,220.018,"LINESTRING (-99.13731420000001 19.4263514, -99.1388831 19.4264928, -99.1394028 19.4265396)",
618043852,True,2,,Calle Isabel la Católica,tertiary,76.193,"LINESTRING (-99.13731420000001 19.4263514, -99.1373086 19.4263875, -99.13725580000001 19.4267241, -99.13721889999999 19.4270306)",
617887678,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,101.68,"LINESTRING (-99.1342764 19.4260855, -99.1352418 19.4261708)",
"[854280394, 854280395]",True,3,,Calle 20 de Noviembre,tertiary,68.62700000000001,"LINESTRING (-99.1342764 19.4260855, -99.1342722 19.4261156, -99.1342361 19.4263706, -99.13418489999999 19.4266966)",
904257869,True,2,,Calle 20 de Noviembre,trunk,9.748,"LINESTRING (-99.1342894 19.4259987, -99.1342764 19.4260855)",
904258813,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,101.642,"LINESTRING (-99.1342894 19.4259987, -99.1352539 19.4260892)",60
4780792,True,2,,Calle Venustiano Carranza,residential,131.932,"LINESTRING (-99.13358770000001 19.4309473, -99.1335186 19.4309377, -99.13266659999999 19.4308223, -99.1325207 19.4307991, -99.1323878 19.4307807, -99.13234300000001 19.4307745)",
"[354652706, 24715388, 770937766]",True,2,,Calle 20 de Noviembre,tertiary,105.555,"LINESTRING (-99.13358770000001 19.4309473, -99.1335244 19.4313939, -99.133449 19.4318525, -99.1334432 19.4318867)",
24850149,True,2,,Calle Donceles,residential,218.588,"LINESTRING (-99.1337779 19.4359878, -99.13321639999999 19.4359198, -99.13176129999999 19.4357138, -99.1317148 19.4357069)",
4780792,True,2,,Calle Venustiano Carranza,residential,95.891,"LINESTRING (-99.1344924 19.4310729, -99.13358770000001 19.4309473)",
438721545,True,1,,Calle 5 de Febrero,residential,94.932,"LINESTRING (-99.1344924 19.4310729, -99.1346216 19.4302279)",
438721545,True,1,,Calle 5 de Febrero,residential,9.162,"LINESTRING (-99.1352418 19.4261708, -99.1352539 19.4260892)",
617887678,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,218.248,"LINESTRING (-99.1352418 19.4261708, -99.1357823 19.4262161, -99.136156 19.4262491, -99.13731420000001 19.4263514)",
438721545,True,1,,Calle 5 de Febrero,residential,105.902,"LINESTRING (-99.1352539 19.4260892, -99.1353984 19.4251466)",
"[904258812, 904258813]",True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,218.14100000000002,"LINESTRING (-99.1352539 19.4260892, -99.1370141 19.4262439, -99.137325 19.4262726)",60
24703741,True,3,EJE 1A SUR,Avenida Arcos de Belén,trunk,189.251,"LINESTRING (-99.14436739999999 19.4269372, -99.14447439999999 19.4269476, -99.1460489 19.4271017, -99.1461625 19.4271127)",
617633722,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,28.299999999999997,"LINESTRING (-99.1426276 19.4244081, -99.1425766 19.424609, -99.14256469999999 19.4246556)",
24703903,True,,,Calle López,residential,66.039,"LINESTRING (-99.1424667 19.4304447, -99.14254579999999 19.4298555)",
616812019,True,,,Calle Ayuntamiento,residential,105.96900000000001,"LINESTRING (-99.1424667 19.4304447, -99.1419362 19.430381, -99.1415294 19.4303327, -99.14146390000001 19.4303272)",
935915821,True,2,,Avenida Balderas,secondary,101.837,"LINESTRING (-99.1476782 19.4329233, -99.147507 19.4338248)",
616813097,True,2,,Calle Articulo 123,residential,151.298,"LINESTRING (-99.1476782 19.4329233, -99.1476614 19.4329207, -99.14762380000001 19.4329156, -99.1475688 19.4329078, -99.1462514 19.4327209)",
24703903,True,,,Calle López,residential,89.25,"LINESTRING (-99.1422014 19.4321482, -99.1423295 19.4313547)",
616813097,True,2,,Calle Articulo 123,residential,105.973,"LINESTRING (-99.1422014 19.4321482, -99.1413111 19.4320201, -99.1412023 19.4320048)",
616921715,True,2,,Avenida Balderas,secondary,157.68200000000002,"LINESTRING (-99.147507 19.4338248, -99.1472637 19.4351581, -99.14725180000001 19.4352223)",
935915820,True,,,Calle Independencia,residential,10.797,"LINESTRING (-99.147507 19.4338248, -99.1475698 19.4338373, -99.1476078 19.4338446)",
24703903,True,,,Calle López,residential,91.693,"LINESTRING (-99.1420662 19.4329629, -99.1422014 19.4321482)",
361358030,True,,,Calle Independencia,residential,94.638,"LINESTRING (-99.1420662 19.4329629, -99.1429535 19.4331185)",
24836282,True,,,Calle Victoria,residential,28.038,"LINESTRING (-99.1423295 19.4313547, -99.14259439999999 19.431389)",
24703903,True,,,Calle López,residential,102.206,"LINESTRING (-99.1423295 19.4313547, -99.14246129999999 19.4304751, -99.1424667 19.4304447)",
618028612,True,3,EJE 1A SUR,Avenida Arcos de Belén,trunk,25.182000000000002,"LINESTRING (-99.1473876 19.4273186, -99.147465 19.4273227, -99.1476273 19.4273323)",
24836297,True,,,Calle Revillagigedo,residential,82.116,"LINESTRING (-99.1466045 19.4310562, -99.1467578 19.430332)",
616812019,True,,,Calle Ayuntamiento,residential,119.604,"LINESTRING (-99.1466045 19.4310562, -99.14547709999999 19.4308931)",
24836297,True,,,Calle Revillagigedo,residential,102.912,"LINESTRING (-99.1464124 19.4319638, -99.1465977 19.4310885, -99.1466045 19.4310562)",
616813097,True,2,,Calle Articulo 123,residential,111.81,"LINESTRING (-99.1462514 19.4327209, -99.1451972 19.43257)",
24836297,True,,,Calle Revillagigedo,residential,85.862,"LINESTRING (-99.1462514 19.4327209, -99.1463201 19.4323979, -99.1464124 19.4319638)",
24836297,True,,,Calle Revillagigedo,residential,99.311,"LINESTRING (-99.14606259999999 19.4335961, -99.1462514 19.4327209)",
361358030,True,,,Calle Independencia,residential,78.036,"LINESTRING (-99.14606259999999 19.4335961, -99.14679649999999 19.4337124)",
616921713,True,3,,Avenida Juárez,secondary,219.61700000000002,"LINESTRING (-99.14475090000001 19.4348771, -99.14447989999999 19.4348305, -99.1442648 19.4347936, -99.1439195 19.4347343, -99.14354609999999 19.4346701, -99.14322749999999 19.4346154, -99.1429153 19.4345618, -99.1428074 19.4345432, -99.14269040000001 19.4345231)",
361358030,True,,,Calle Independencia,residential,109.326,"LINESTRING (-99.1450323 19.4334456, -99.14606259999999 19.4335961)",
618028623,True,2,,Calle Luis Moya,tertiary,161.891,"LINESTRING (-99.1450323 19.4334456, -99.1447774 19.4347305, -99.144767 19.4347831, -99.14475090000001 19.4348771)",
616813097,True,2,,Calle Articulo 123,residential,143.991,"LINESTRING (-99.1451972 19.43257, -99.14383909999999 19.4323787)",
618028623,True,2,,Calle Luis Moya,tertiary,98.886,"LINESTRING (-99.1451972 19.43257, -99.1450323 19.4334456)",
616812019,True,,,Calle Ayuntamiento,residential,177.63,"LINESTRING (-99.14547709999999 19.4308931, -99.14380389999999 19.4306439)",
618028623,True,2,,Calle Luis Moya,tertiary,101.672,"LINESTRING (-99.14547709999999 19.4308931, -99.1454715 19.4309241, -99.1454213 19.4312014, -99.1453139 19.4317944)",
904261096,True,3,EJE 1A SUR,Avenida Arcos de Belén,trunk,70.338,"LINESTRING (-99.1432227 19.4269546, -99.1438902 19.4270168)",
24836282,True,,,Calle Victoria,residential,58.849,"LINESTRING (-99.14259439999999 19.431389, -99.1431504 19.4314609)",
24836302,True,,,Calle Aranda,residential,101.627,"LINESTRING (-99.14259439999999 19.431389, -99.1427477 19.4305178, -99.1427532 19.4304874)",
24836302,True,,,Calle Aranda,residential,67.16,"LINESTRING (-99.1427532 19.4304874, -99.1428416 19.4298892)",
616812019,True,,,Calle Ayuntamiento,residential,30.416,"LINESTRING (-99.1427532 19.4304874, -99.1424667 19.4304447)",
518424334,True,,,Calle Dolores,residential,158.607,"LINESTRING (-99.14269040000001 19.4345231, -99.1427054 19.4344267, -99.1429535 19.4331185)",
616921713,True,3,,Avenida Juárez,secondary,88.25399999999999,"LINESTRING (-99.14269040000001 19.4345231, -99.14255900000001 19.4345027, -99.1423023 19.4344628, -99.1420456 19.4344229, -99.1419721 19.4344098, -99.14185999999999 19.4343941)",
361358030,True,,,Calle Independencia,residential,30.681,"LINESTRING (-99.1429535 19.4331185, -99.143171 19.4331541, -99.14324190000001 19.433165)",
518424556,True,,,Calle Dolores,residential,90.208,"LINESTRING (-99.1430421 19.4322657, -99.1431504 19.4314609)",
616813097,True,2,,Calle Articulo 123,residential,89.12,"LINESTRING (-99.1430421 19.4322657, -99.1422014 19.4321482)",
24836282,True,,,Calle Victoria,residential,54.36,"LINESTRING (-99.1431504 19.4314609, -99.14366200000001 19.4315398)",
518424556,True,,,Calle Dolores,residential,100.471,"LINESTRING (-99.1431504 19.4314609, -99.1432674 19.4305953, -99.14327160000001 19.4305646)",
616812019,True,,,Calle Ayuntamiento,residential,55.034,"LINESTRING (-99.14327160000001 19.4305646, -99.1427532 19.4304874)",
904261096,True,3,EJE 1A SUR,Avenida Arcos de Belén,trunk,237.015,"LINESTRING (-99.1438902 19.4270168, -99.14428119999999 19.427057, -99.1444601 19.4270746, -99.1460357 19.4272289, -99.1461381 19.4272389)",
618028623,True,2,,Calle Luis Moya,tertiary,86.87,"LINESTRING (-99.14590939999999 19.4285057, -99.14577060000001 19.4292759)",
618028619,True,,,Calle Delicias,residential,237.747,"LINESTRING (-99.14590939999999 19.4285057, -99.1446096 19.4282625, -99.1444743 19.4282439, -99.1442514 19.4282156, -99.1436738 19.4281616)",
618028619,True,,,Calle Delicias,residential,63.445,"LINESTRING (-99.1436738 19.4281616, -99.1430719 19.4281037)",
24836316,True,,,Calle Buen Tono,residential,129.304,"LINESTRING (-99.1436738 19.4281616, -99.14388080000001 19.4270716, -99.1438902 19.4270168)",
618028619,True,,,Calle Delicias,residential,30.381,"LINESTRING (-99.1430719 19.4281037, -99.1427845 19.4280692)",
24836302,True,,,Calle Aranda,residential,128.749,"LINESTRING (-99.1430719 19.4281037, -99.1432162 19.4270015, -99.1432227 19.4269546)",
618028619,True,,,Calle Delicias,residential,103.724,"LINESTRING (-99.1427845 19.4280692, -99.1418872 19.4279657, -99.1418029 19.4279544)",
866735729,True,2,,Calle López,residential,127.84700000000001,"LINESTRING (-99.1427845 19.4280692, -99.1429486 19.4269828, -99.14295439999999 19.4269307)",
352403336,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,121.024,"LINESTRING (-99.1418029 19.4279544, -99.1416607 19.4290345)",
618028623,True,2,,Calle Luis Moya,tertiary,33.262,"LINESTRING (-99.1456652 19.4298626, -99.14561140000001 19.4301574)",
24836323,True,,,Calle Ernesto Pugibet,residential,234.55499999999998,"LINESTRING (-99.1456652 19.4298626, -99.14518510000001 19.4298047, -99.1438595 19.4296447, -99.1434465 19.4295949)",
24836302,True,,,Calle Aranda,residential,33.918,"LINESTRING (-99.14287760000001 19.4295262, -99.1429078 19.4292225)",
618028623,True,2,,Calle Luis Moya,tertiary,66.168,"LINESTRING (-99.14577060000001 19.4292759, -99.1456652 19.4298626)",
24836327,True,,,Calle Márquez Sterling,residential,124.33,"LINESTRING (-99.1469422 19.4294475, -99.14577060000001 19.4292759)",
618028621,True,,,Calle Revillagigedo,residential,241.287,"LINESTRING (-99.1469422 19.4294475, -99.14738060000001 19.427352, -99.1473876 19.4273186)",
24836327,True,,,Calle Márquez Sterling,residential,85.452,"LINESTRING (-99.14774850000001 19.4295588, -99.1469422 19.4294475)",
24836328,False,,,Callejón Candelaria,residential,63.705,"LINESTRING (-99.14774850000001 19.4295588, -99.1476406 19.4301226)",
24836323,True,,,Calle Ernesto Pugibet,residential,86.266,"LINESTRING (-99.1476406 19.4301226, -99.1468323 19.4299783)",
24836328,False,,,Callejón Candelaria,residential,63.705,"LINESTRING (-99.1476406 19.4301226, -99.14774850000001 19.4295588)",
617718993,False,,,Calle Pescaditos,residential,120.43299999999999,"LINESTRING (-99.1476406 19.4301226, -99.14756559999999 19.4303947, -99.1475427 19.4304319, -99.14750410000001 19.4304549, -99.14745859999999 19.4304582, -99.1467578 19.430332)",
24836302,True,,,Calle Aranda,residential,40.54,"LINESTRING (-99.1428416 19.4298892, -99.14287760000001 19.4295262)",
24836333,False,,,Calle Puente de Peredo,residential,31.244,"LINESTRING (-99.1428416 19.4298892, -99.14254579999999 19.4298555)",
24703903,True,,,Calle López,residential,75.542,"LINESTRING (-99.14254579999999 19.4298555, -99.14263529999999 19.4291814)",
24836333,False,,,Calle Puente de Peredo,residential,31.244,"LINESTRING (-99.14254579999999 19.4298555, -99.1428416 19.4298892)",
24836333,False,,,Calle Puente de Peredo,residential,104.925,"LINESTRING (-99.14254579999999 19.4298555, -99.14161799999999 19.4297499, -99.14155239999999 19.4297425)",
618045930,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,65.675,"LINESTRING (-99.14155239999999 19.4297425, -99.14146390000001 19.4303272)",
24836333,False,,,Calle Puente de Peredo,residential,104.925,"LINESTRING (-99.14155239999999 19.4297425, -99.14161799999999 19.4297499, -99.14254579999999 19.4298555)",
24836302,True,,,Calle Aranda,residential,125.59,"LINESTRING (-99.1429078 19.4292225, -99.1430719 19.4281037)",
24836487,True,2,,Calle Mesones,residential,117.176,"LINESTRING (-99.12954929999999 19.4279068, -99.1306589 19.4280312)",
24850896,True,1,,Calle las Cruces,residential,106.391,"LINESTRING (-99.12954929999999 19.4279068, -99.12968499999999 19.4269586)",
24836487,True,2,,Calle Mesones,residential,99.622,"LINESTRING (-99.1349093 19.4284431, -99.1358541 19.4285369)",
438721545,True,1,,Calle 5 de Febrero,residential,129.193,"LINESTRING (-99.1349093 19.4284431, -99.13501580000001 19.4276494, -99.1350564 19.427401, -99.1350743 19.4272918)",
24836487,True,2,,Calle Mesones,residential,217.29,"LINESTRING (-99.13699029999999 19.4286498, -99.1390547 19.4288184)",
618043852,True,2,,Calle Isabel la Católica,tertiary,114.877,"LINESTRING (-99.13699029999999 19.4286498, -99.1368286 19.4296716)",
24703903,True,,,Calle López,residential,124.657,"LINESTRING (-99.14263529999999 19.4291814, -99.1427845 19.4280692)",
617719001,True,,,Calle Vizcaínas,residential,28.938,"LINESTRING (-99.14263529999999 19.4291814, -99.1429078 19.4292225)",
24836487,True,2,,Calle Mesones,residential,100.395,"LINESTRING (-99.1285986 19.4278003, -99.12954929999999 19.4279068)",
24850888,True,2,,Calle Jesús María,residential,80.699,"LINESTRING (-99.1285986 19.4278003, -99.1284955 19.4285195)",
24836603,True,,,Calle Vizcaínas,residential,98.163,"LINESTRING (-99.1390547 19.4288184, -99.1399876 19.4288914)",
846008893,True,2,,Calle Simón Bolívar,tertiary,181.017,"LINESTRING (-99.1390547 19.4288184, -99.1391239 19.428365, -99.1391594 19.4281326, -99.1393008 19.4272071)",
616813097,True,2,,Calle Articulo 123,residential,42.098,"LINESTRING (-99.14343909999999 19.432322, -99.1430421 19.4322657)",
24836611,False,,,Callejón Tarasquillo,residential,60.671,"LINESTRING (-99.14383909999999 19.4323787, -99.1437707 19.4329205)",
616813097,True,2,,Calle Articulo 123,residential,42.416,"LINESTRING (-99.14383909999999 19.4323787, -99.14343909999999 19.432322)",
24836611,False,,,Callejón Tarasquillo,residential,60.671,"LINESTRING (-99.1437707 19.4329205, -99.14383909999999 19.4323787)",
24836282,True,,,Calle Victoria,residential,82.081,"LINESTRING (-99.14366200000001 19.4315398, -99.1444345 19.4316589)",
220844298,True,,,Calle José María Marroquí,residential,100.725,"LINESTRING (-99.14366200000001 19.4315398, -99.1437991 19.4306746, -99.14380389999999 19.4306439)",
616812019,True,,,Calle Ayuntamiento,residential,56.51,"LINESTRING (-99.14380389999999 19.4306439, -99.1437055 19.4306293, -99.14327160000001 19.4305646)",
24836282,True,,,Calle Victoria,residential,49.057,"LINESTRING (-99.1448522 19.4317232, -99.1453139 19.4317944)",
