osmid,oneway,lanes,ref,name,highway,length,geometry,maxspeed
"[24836616, 618053641, 618053642]",False,,,Callejón del Sapo,residential,125.714,"LINESTRING (-99.1448522 19.4317232, -99.1449101 19.4313571, -99.1444977 19.4312969, -99.1444345 19.4316589)",
24836282,True,,,Calle Victoria,residential,44.38,"LINESTRING (-99.1444345 19.4316589, -99.1448522 19.4317232)",
"[24836616, 618053641, 618053642]",False,,,Callejón del Sapo,residential,125.714,"LINESTRING (-99.1444345 19.4316589, -99.1444977 19.4312969, -99.1449101 19.4313571, -99.1448522 19.4317232)",
24846907,True,2,,Calle República de Uruguay,residential,131.398,"LINESTRING (-99.1324688 19.4299223, -99.1325142 19.4299288, -99.1336404 19.4300886, -99.1337079 19.4300982)",
618043858,True,3,,Avenida José María Pino Suárez,tertiary,93.91499999999999,"LINESTRING (-99.1324688 19.4299223, -99.13254430000001 19.4294119, -99.1325925 19.4290858)",
24715388,True,2,,Calle 20 de Noviembre,tertiary,95.253,"LINESTRING (-99.1337079 19.4300982, -99.13358770000001 19.4309473)",
24846907,True,2,,Calle República de Uruguay,residential,96.892,"LINESTRING (-99.1337079 19.4300982, -99.1346216 19.4302279)",
24846907,True,2,,Calle República de Uruguay,residential,219.913,"LINESTRING (-99.1346216 19.4302279, -99.13669539999999 19.4305223)",
438721545,True,1,,Calle 5 de Febrero,residential,94.793,"LINESTRING (-99.1346216 19.4302279, -99.13475750000001 19.4293851)",
24846907,True,2,,Calle República de Uruguay,residential,213.964,"LINESTRING (-99.13669539999999 19.4305223, -99.13871159999999 19.430818)",
618043852,True,2,,Calle Isabel la Católica,tertiary,94.228,"LINESTRING (-99.13669539999999 19.4305223, -99.13656400000001 19.4313606)",
24846907,True,2,,Calle República de Uruguay,residential,277.17,"LINESTRING (-99.13871159999999 19.430818, -99.1413268 19.4311798)",
24847028,True,2,,Calle Simón Bolívar,tertiary,97.548,"LINESTRING (-99.13871159999999 19.430818, -99.138881 19.4299554)",
618098742,False,,,Calle República de El Salvador,residential,104.097,"LINESTRING (-99.138881 19.4299554, -99.13986319999999 19.4300912)",
846008893,True,2,,Calle Simón Bolívar,tertiary,127.734,"LINESTRING (-99.138881 19.4299554, -99.1390547 19.4288184)",
932642940,True,2,,Calle República de El Salvador,residential,217.521,"LINESTRING (-99.138881 19.4299554, -99.1368286 19.4296716)",
618043852,True,2,,Calle Isabel la Católica,tertiary,95.619,"LINESTRING (-99.1368286 19.4296716, -99.13669539999999 19.4305223)",
932642940,True,2,,Calle República de El Salvador,residential,219.505,"LINESTRING (-99.1368286 19.4296716, -99.1364928 19.4296251, -99.13475750000001 19.4293851)",
438721545,True,1,,Calle 5 de Febrero,residential,105.948,"LINESTRING (-99.13475750000001 19.4293851, -99.1349093 19.4284431)",
932642940,True,2,,Calle República de El Salvador,residential,98.586,"LINESTRING (-99.13475750000001 19.4293851, -99.13382729999999 19.4292565)",
"[854280388, 854280389]",True,2,,Calle 20 de Noviembre,tertiary,94.426,"LINESTRING (-99.13382729999999 19.4292565, -99.13373369999999 19.4299165, -99.1337079 19.4300982)",
932642939,True,2,,Calle República de El Salvador,residential,130.869,"LINESTRING (-99.13382729999999 19.4292565, -99.1337613 19.4292474, -99.1331732 19.4291661, -99.1326385 19.4290922, -99.1325925 19.4290858)",
618043858,True,3,,Avenida José María Pino Suárez,tertiary,59.143,"LINESTRING (-99.1325925 19.4290858, -99.1326703 19.428559)",
846008894,True,2,,Calle República de El Salvador,residential,50.533,"LINESTRING (-99.1325925 19.4290858, -99.1321157 19.4290199)",
24846945,True,,,Calle San Jerónimo,residential,183.248,"LINESTRING (-99.1418929 19.4274486, -99.140154 19.4272855)",
352403336,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,57.03,"LINESTRING (-99.1418929 19.4274486, -99.1418894 19.4274695, -99.1418536 19.4276761, -99.1418029 19.4279544)",
451242917,True,1,,Calle San Jerónimo,residential,219.197,"LINESTRING (-99.1393008 19.4272071, -99.13721889999999 19.4270306)",
846008893,True,2,,Calle Simón Bolívar,tertiary,74.989,"LINESTRING (-99.1393008 19.4272071, -99.1393147 19.4271159, -99.1393966 19.42658, -99.1394028 19.4265396)",
618043852,True,2,,Calle Isabel la Católica,tertiary,181.648,"LINESTRING (-99.13721889999999 19.4270306, -99.13710500000001 19.427907, -99.13699029999999 19.4286498)",
438721545,True,1,,Calle 5 de Febrero,residential,74.472,"LINESTRING (-99.135149 19.4268348, -99.1352369 19.4262028, -99.1352418 19.4261708)",
217581829,True,2,,Calle San Jerónimo,residential,102.261,"LINESTRING (-99.13418489999999 19.4266966, -99.135149 19.4268348)",
"[854280392, 854280393]",True,2,,Calle 20 de Noviembre,tertiary,93.763,"LINESTRING (-99.13418489999999 19.4266966, -99.13410690000001 19.4272829, -99.1340714 19.427533)",
217581829,True,2,,Calle San Jerónimo,residential,128.763,"LINESTRING (-99.1329709 19.426523, -99.1330189 19.4265286, -99.1341286 19.4266885, -99.13418489999999 19.4266966)",
618043858,True,3,,Avenida José María Pino Suárez,tertiary,61.245,"LINESTRING (-99.1329709 19.426523, -99.13297679999999 19.4264847, -99.13303019999999 19.4260029, -99.1330334 19.4259754)",
682504898,False,,,,residential,28.423,"LINESTRING (-99.1401276 19.4275399, -99.140154 19.4272855)",
682504898,False,,,,residential,28.423,"LINESTRING (-99.140154 19.4272855, -99.1401276 19.4275399)",
451242917,True,1,,Calle San Jerónimo,residential,56.547,"LINESTRING (-99.140154 19.4272855, -99.1397316 19.4272467, -99.1396173 19.4272362)",
451242915,True,,,Calle Aldaco,residential,59.092,"LINESTRING (-99.13986319999999 19.4300912, -99.1399181 19.4295623)",
618098742,False,,,Calle República de El Salvador,residential,104.097,"LINESTRING (-99.13986319999999 19.4300912, -99.138881 19.4299554)",
618098742,False,,,Calle República de El Salvador,residential,169.894,"LINESTRING (-99.13986319999999 19.4300912, -99.1401312 19.4301282, -99.14146390000001 19.4303272)",
24836603,True,,,Calle Vizcaínas,residential,176.166,"LINESTRING (-99.1399876 19.4288914, -99.1416607 19.4290345)",
451242915,True,,,Calle Aldaco,residential,150.996,"LINESTRING (-99.1399876 19.4288914, -99.1400574 19.428218, -99.1401276 19.4275399)",
866466953,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,67.227,"LINESTRING (-99.1422213 19.4259854, -99.1420847 19.4265761)",
24847004,True,,,Calle Nezahualcóyotl,residential,189.381,"LINESTRING (-99.1404644 19.4255958, -99.14217979999999 19.4259665, -99.1422213 19.4259854)",
803409367,False,,,Cerrada Tizapán,residential,160.077,"LINESTRING (-99.1404644 19.4255958, -99.1405378 19.4253004, -99.140553 19.4252648, -99.14058470000001 19.4252429, -99.140621 19.4252347, -99.1416 19.4253371, -99.1416328 19.4253327, -99.1416607 19.4253125, -99.1416734 19.4252826)",
24847033,True,,,Calle Nezahualcóyotl,residential,71.256,"LINESTRING (-99.1374563 19.4253245, -99.13813210000001 19.4253913)",
617887687,True,3,,Calle Isabel la Católica,tertiary,106.32499999999999,"LINESTRING (-99.1374563 19.4253245, -99.1373972 19.4257897, -99.137325 19.4262726)",
24847033,True,,,Calle Nezahualcóyotl,residential,216.714,"LINESTRING (-99.1353984 19.4251466, -99.1363547 19.425222, -99.13743030000001 19.4253225, -99.1374563 19.4253245)",
24847033,True,,,Calle Nezahualcóyotl,residential,102.922,"LINESTRING (-99.1344203 19.42507, -99.1353984 19.4251466)",
687695197,True,2,,Calle 20 de Noviembre,trunk,104.175,"LINESTRING (-99.1344203 19.42507, -99.1342894 19.4259987)",
24847206,True,,,Calle Nezahualcóyotl,residential,63.532999999999994,"LINESTRING (-99.1344203 19.42507, -99.1343617 19.4250643, -99.1338171 19.4250167)",
24847091,True,,,Callejón Igualidad,residential,106.049,"LINESTRING (-99.1403608 19.4265445, -99.1404644 19.4255958)",
"[387049360, 866731821]",True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,182.406,"LINESTRING (-99.1403608 19.4265445, -99.1410135 19.426602, -99.1413155 19.4266268, -99.14137340000001 19.4266234, -99.14161609999999 19.4265614, -99.14176260000001 19.4265459, -99.14192989999999 19.4265563, -99.14203449999999 19.426569, -99.1420847 19.4265761)",60
803409367,False,,,Cerrada Tizapán,residential,29.624,"LINESTRING (-99.1417185 19.4250196, -99.1416734 19.4252826)",
803409367,False,,,Cerrada Tizapán,residential,29.624,"LINESTRING (-99.1416734 19.4252826, -99.1417185 19.4250196)",
803409367,False,,,Cerrada Tizapán,residential,160.077,"LINESTRING (-99.1416734 19.4252826, -99.1416607 19.4253125, -99.1416328 19.4253327, -99.1416 19.4253371, -99.140621 19.4252347, -99.14058470000001 19.4252429, -99.140553 19.4252648, -99.1405378 19.4253004, -99.1404644 19.4255958)",
866466953,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,66.986,"LINESTRING (-99.1423751 19.4254007, -99.1422213 19.4259854)",
24847109,True,,,Calle Tizapán,residential,74.747,"LINESTRING (-99.1423751 19.4254007, -99.14234159999999 19.4253944, -99.1416734 19.4252826)",
24847033,True,,,Calle Nezahualcóyotl,residential,39.985,"LINESTRING (-99.13916709999999 19.4254888, -99.1395471 19.4255184)",
24847120,True,,,Callejón Nezahualcóyotl,residential,111.442,"LINESTRING (-99.1387283 19.4264016, -99.13916709999999 19.4254888)",
387049360,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,72.12,"LINESTRING (-99.1387283 19.4264016, -99.1394128 19.4264645)",60
24847033,True,,,Calle Nezahualcóyotl,residential,54.315,"LINESTRING (-99.1386516 19.4254413, -99.13916709999999 19.4254888)",
24847126,False,,,Segundo Callejón Nezahualcóyotl,residential,106.048,"LINESTRING (-99.1386516 19.4254413, -99.1386566 19.426395)",
24847126,False,,,Segundo Callejón Nezahualcóyotl,residential,106.048,"LINESTRING (-99.1386566 19.426395, -99.1386516 19.4254413)",
387049360,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,7.555,"LINESTRING (-99.1386566 19.426395, -99.1387283 19.4264016)",60
24847134,False,,,Privada San Salvador El Seco,residential,70.163,"LINESTRING (-99.1396563 19.4249026, -99.1389946 19.4248092)",
866469053,True,2,,Calle Simón Bolívar,tertiary,50.038,"LINESTRING (-99.1396563 19.4249026, -99.1397371 19.4244591)",
24847134,False,,,Privada San Salvador El Seco,residential,70.163,"LINESTRING (-99.1389946 19.4248092, -99.1396563 19.4249026)",
904256738,True,2,,Avenida José María Pino Suárez,trunk,10.069,"LINESTRING (-99.1330334 19.4259754, -99.133043 19.4258853)",
617887678,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,130.922,"LINESTRING (-99.1330334 19.4259754, -99.1330854 19.4259807, -99.13421580000001 19.4260803, -99.1342764 19.4260855)",
618043859,True,2,,Avenida José María Pino Suárez,trunk,104.846,"LINESTRING (-99.133043 19.4258853, -99.1331722 19.4249503)",
"[904257870, 904257871]",True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,131.31,"LINESTRING (-99.133043 19.4258853, -99.1340563 19.4259774, -99.134229 19.4259934, -99.1342894 19.4259987)",60
24847220,False,,,Callejón Flamencos,residential,64.846,"LINESTRING (-99.13446949999999 19.4247227, -99.1344306 19.4247178, -99.1338566 19.4246453)",
687695197,True,2,,Calle 20 de Noviembre,trunk,38.961000000000006,"LINESTRING (-99.13446949999999 19.4247227, -99.1344266 19.4250253, -99.1344203 19.42507)",
24847220,False,,,Callejón Flamencos,residential,66.76,"LINESTRING (-99.1332254 19.4245671, -99.1338566 19.4246453)",
"[854269186, 854269183]",True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,172.63400000000001,"LINESTRING (-99.131404 19.4257401, -99.1314854 19.4257463, -99.1324979 19.4258328, -99.13300150000001 19.4258816, -99.133043 19.4258853)",60
854269186,True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,68.11800000000001,"LINESTRING (-99.1308124 19.4259507, -99.1310072 19.4258209, -99.1310836 19.4257902, -99.13116220000001 19.4257651, -99.13124259999999 19.4257456, -99.1313229 19.4257368, -99.131404 19.4257401)",60
854269187,True,3,EJE 1A SUR,Avenida San Pablo,trunk,21.502,"LINESTRING (-99.12884819999999 19.4260572, -99.12905019999999 19.4260904)",60
867017412,True,2,,Calle Jesús María,tertiary,8.95,"LINESTRING (-99.12884819999999 19.4260572, -99.12883239999999 19.4261363)",
24850888,True,2,,Calle Jesús María,residential,78.276,"LINESTRING (-99.12883239999999 19.4261363, -99.1287372 19.4268345)",
688753795,True,3,EJE 1A SUR,Avenida San Pablo,trunk,43.409,"LINESTRING (-99.12883239999999 19.4261363, -99.12924289999999 19.4261866)",
123885361,True,,,Calle Regina,residential,129.776,"LINESTRING (-99.1340714 19.427533, -99.13400849999999 19.4275248, -99.1328929 19.4273787, -99.1328456 19.4273725)",
"[854280390, 854280391]",True,2,,Calle 20 de Noviembre,tertiary,91.488,"LINESTRING (-99.1340714 19.427533, -99.1339916 19.428096, -99.13395269999999 19.4283481)",
123885361,True,,,Calle Regina,residential,216.886,"LINESTRING (-99.1328456 19.4273725, -99.130797 19.4271042)",
618043858,True,3,,Avenida José María Pino Suárez,tertiary,95.37,"LINESTRING (-99.1328456 19.4273725, -99.1329709 19.426523)",
123885361,True,,,Calle Regina,residential,100.344,"LINESTRING (-99.12968499999999 19.4269586, -99.1287372 19.4268345)",
24850896,True,1,,Calle las Cruces,residential,79.81899999999999,"LINESTRING (-99.12968499999999 19.4269586, -99.1297818 19.4263529, -99.12979850000001 19.4262488)",
24847791,True,,,Calle Jiménez,residential,75.25,"LINESTRING (-99.1395282 19.4281677, -99.13959269999999 19.4274937)",
451242917,True,1,,Calle San Jerónimo,residential,33.347,"LINESTRING (-99.1396173 19.4272362, -99.1393008 19.4272071)",
24846970,True,,,Calle San Jerónimo,residential,56.326,"LINESTRING (-99.13959269999999 19.4274937, -99.1401276 19.4275399)",
24847791,True,,,Calle Jiménez,residential,28.749,"LINESTRING (-99.13959269999999 19.4274937, -99.1396173 19.4272362)",
24847834,True,,,Calle Meave,residential,174.097,"LINESTRING (-99.14157830000001 19.4295731, -99.1399181 19.4295623)",
618045930,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,19.031,"LINESTRING (-99.14157830000001 19.4295731, -99.14155239999999 19.4297425)",
451242915,True,,,Calle Aldaco,residential,74.956,"LINESTRING (-99.1399181 19.4295623, -99.1399876 19.4288914)",
24849974,True,2,,Calle Tacuba,tertiary,111.025,"LINESTRING (-99.1338942 19.4351277, -99.1349414 19.4352751)",
457847968,True,2,,Calle Monte de Piedad,tertiary,96.413,"LINESTRING (-99.1338942 19.4351277, -99.1337779 19.4359878)",
24849973,False,,,República de Guatemala,residential,191.95700000000002,"LINESTRING (-99.1338942 19.4351277, -99.1334767 19.4350672, -99.1333576 19.43505, -99.1321798 19.4348795, -99.1320839 19.4348733)",
24849973,False,,,República de Guatemala,residential,191.957,"LINESTRING (-99.1320839 19.4348733, -99.1321798 19.4348795, -99.1333576 19.43505, -99.1334767 19.4350672, -99.1338942 19.4351277)",
889116248,False,,,Calle Filomeno Mata,residential,140.328,"LINESTRING (-99.1390239 19.4358618, -99.13926410000001 19.4346203)",
"[616927361, 24849974]",True,2,,Calle Tacuba,tertiary,165.758,"LINESTRING (-99.1390239 19.4358618, -99.13994649999999 19.4359938, -99.140469 19.4361291, -99.14057099999999 19.4361555)",
24847028,True,2,,Calle Simón Bolívar,tertiary,138.282,"LINESTRING (-99.1380011 19.4357154, -99.13818910000001 19.4344845)",
24849974,True,2,,Calle Tacuba,tertiary,108.478,"LINESTRING (-99.1380011 19.4357154, -99.1390239 19.4358618)",
24849974,True,2,,Calle Tacuba,tertiary,107.785,"LINESTRING (-99.1349414 19.4352751, -99.13595890000001 19.4354127)",
4818253,True,,,Calle Palma Norte,residential,131.247,"LINESTRING (-99.1349414 19.4352751, -99.13503369999999 19.4346517, -99.1351039 19.4341048)",
617831539,True,2,,Correo Mayor,residential,79.265,"LINESTRING (-99.1299083 19.4333466, -99.1300016 19.4326392)",
"[425206430, 618098751]",True,,,Moneda,residential,275.026,"LINESTRING (-99.1299083 19.4333466, -99.1309171 19.4334743, -99.1310641 19.4334908, -99.13191759999999 19.4335869, -99.1319859 19.4335692, -99.1322486 19.4333819, -99.1324267 19.4333021)",
24936474,True,2,,Calle Escuela Médico Militar,tertiary,9.256,"LINESTRING (-99.13084019999999 19.4260297, -99.1308124 19.4259507)",
"[854269184, 854269185]",True,3,EJE 1A SUR,Avenida José María Izazaga,trunk,236.43200000000002,"LINESTRING (-99.13084019999999 19.4260297, -99.1310555 19.4258951, -99.13112270000001 19.4258682, -99.1311925 19.4258478, -99.1312641 19.4258342, -99.13133259999999 19.4258276, -99.1314014 19.4258272, -99.1314699 19.4258329, -99.13285260000001 19.4259589, -99.1330334 19.4259754)",
158032457,True,,,Calle República de Guatemala,residential,107.851,"LINESTRING (-99.12972689999999 19.4345814, -99.1287071 19.4344553)",
617831539,True,2,,Correo Mayor,residential,138.615,"LINESTRING (-99.12972689999999 19.4345814, -99.1299083 19.4333466)",
617831539,True,2,,Correo Mayor,residential,93.1,"LINESTRING (-99.13043639999999 19.4296338, -99.1305547 19.428804)",
24846907,True,2,,Calle República de Uruguay,residential,215.523,"LINESTRING (-99.13043639999999 19.4296338, -99.13099630000001 19.4297133, -99.13161839999999 19.4298016, -99.1324688 19.4299223)",
617831539,True,2,,Correo Mayor,residential,86.623,"LINESTRING (-99.1305547 19.428804, -99.1306589 19.4280312)",
846008894,True,2,,Calle República de El Salvador,residential,117.866,"LINESTRING (-99.1305547 19.428804, -99.1294426 19.4286502)",
24836487,True,2,,Calle Mesones,residential,47.35,"LINESTRING (-99.1306589 19.4280312, -99.13110760000001 19.4280789)",
617831539,True,2,,Correo Mayor,residential,104.09,"LINESTRING (-99.1306589 19.4280312, -99.130797 19.4271042)",
123885361,True,,,Calle Regina,residential,117.728,"LINESTRING (-99.130797 19.4271042, -99.12968499999999 19.4269586)",
617831539,True,2,,Correo Mayor,residential,91.759,"LINESTRING (-99.130797 19.4271042, -99.1308753 19.4262823)",
217581829,True,2,,Calle San Jerónimo,residential,221.378,"LINESTRING (-99.1308753 19.4262823, -99.1329709 19.426523)",
617831539,True,2,,Correo Mayor,residential,28.490000000000002,"LINESTRING (-99.1308753 19.4262823, -99.1308755 19.4262117, -99.13086850000001 19.4261415, -99.1308544 19.4260728, -99.13084019999999 19.4260297)",
4818253,True,,,Calle Palma Norte,residential,96.228,"LINESTRING (-99.1348193 19.4361328, -99.1349414 19.4352751)",
24850149,True,2,,Calle Donceles,residential,110.383,"LINESTRING (-99.1348193 19.4361328, -99.1337779 19.4359878)",
618098762,True,,,Calle del Carmen,residential,95.954,"LINESTRING (-99.12961110000001 19.4354374, -99.12972689999999 19.4345814)",
516714775,True,,,Calle Justo Sierra,residential,222.618,"LINESTRING (-99.1317148 19.4357069, -99.12961110000001 19.4354374)",
20457383,True,2,,Avenida José María Pino Suárez,tertiary,101.621,"LINESTRING (-99.1323285 19.4316883, -99.13234300000001 19.4307745)",
24850566,True,,,Calle Corregidora,residential,133.479,"LINESTRING (-99.1323285 19.4316883, -99.1310663 19.4315329)",
617831539,True,2,,Correo Mayor,residential,102.511,"LINESTRING (-99.130162 19.4314093, -99.13029830000001 19.4304964)",
24850566,True,,,Calle Corregidora,residential,107.87,"LINESTRING (-99.130162 19.4314093, -99.1296502 19.431351, -99.129142 19.4312838)",
24850888,True,2,,Calle Jesús María,residential,105.688,"LINESTRING (-99.12825340000001 19.4302066, -99.1281183 19.4311485)",
618043858,True,3,,Avenida José María Pino Suárez,tertiary,95.674,"LINESTRING (-99.13234300000001 19.4307745, -99.1324688 19.4299223)",
4780792,True,2,,Calle Venustiano Carranza,residential,120.102,"LINESTRING (-99.13234300000001 19.4307745, -99.1314969 19.430657, -99.1312099 19.4306171)",
617831539,True,2,,Correo Mayor,residential,97.004,"LINESTRING (-99.13029830000001 19.4304964, -99.13043639999999 19.4296338)",
4780792,True,2,,Calle Venustiano Carranza,residential,116.43700000000001,"LINESTRING (-99.13029830000001 19.4304964, -99.12978080000001 19.4304187, -99.1292007 19.4303381)",
617831539,True,2,,Correo Mayor,residential,137.789,"LINESTRING (-99.1300016 19.4326392, -99.130162 19.4314093)",
24850888,True,2,,Calle Jesús María,residential,108.371,"LINESTRING (-99.1287372 19.4268345, -99.1285986 19.4278003)",
24850888,True,2,,Calle Jesús María,residential,92.269,"LINESTRING (-99.1284955 19.4285195, -99.1283775 19.4293418)",
24846907,True,2,,Calle República de Uruguay,residential,100.387,"LINESTRING (-99.1283775 19.4293418, -99.1293242 19.4294759)",
24850888,True,2,,Calle Jesús María,residential,97.038,"LINESTRING (-99.1283775 19.4293418, -99.12825340000001 19.4302066)",
24850888,True,2,,Calle Jesús María,residential,138.427,"LINESTRING (-99.1281183 19.4311485, -99.12798050000001 19.4323866)",
618098749,True,,,La Soledad,residential,105.267,"LINESTRING (-99.12798050000001 19.4323866, -99.1289755 19.4325122)",
4780792,True,2,,Calle Venustiano Carranza,residential,100.406,"LINESTRING (-99.1292007 19.4303381, -99.12825340000001 19.4302066)",
24850896,True,1,,Calle las Cruces,residential,96.743,"LINESTRING (-99.1292007 19.4303381, -99.1293242 19.4294759)",
24846907,True,2,,Calle República de Uruguay,residential,117.942,"LINESTRING (-99.1293242 19.4294759, -99.13043639999999 19.4296338)",
24850896,True,1,,Calle las Cruces,residential,92.649,"LINESTRING (-99.1293242 19.4294759, -99.1294426 19.4286502)",
24850896,True,1,,Calle las Cruces,residential,83.416,"LINESTRING (-99.1294426 19.4286502, -99.12954929999999 19.4279068)",
846008894,True,2,,Calle República de El Salvador,residential,100.374,"LINESTRING (-99.1294426 19.4286502, -99.1284955 19.4285195)",
24850897,False,,,Calle Academia,residential,131.812,"LINESTRING (-99.1287071 19.4344553, -99.1288701 19.4332799)",
24850897,False,,,Calle Academia,residential,86.077,"LINESTRING (-99.1288701 19.4332799, -99.1289755 19.4325122)",
24850897,False,,,Calle Academia,residential,131.812,"LINESTRING (-99.1288701 19.4332799, -99.1287071 19.4344553)",
425206430,True,,,Moneda,residential,109.92600000000002,"LINESTRING (-99.1288701 19.4332799, -99.1289506 19.4332569, -99.1290307 19.4332491, -99.1299083 19.4333466)",
24850897,False,,,Calle Academia,residential,137.703,"LINESTRING (-99.1289755 19.4325122, -99.129142 19.4312838)",
24850897,False,,,Calle Academia,residential,86.077,"LINESTRING (-99.1289755 19.4325122, -99.1288701 19.4332799)",
618098749,True,,,La Soledad,residential,108.52,"LINESTRING (-99.1289755 19.4325122, -99.1300016 19.4326392)",
24850566,True,,,Calle Corregidora,residential,108.396,"LINESTRING (-99.129142 19.4312838, -99.1281183 19.4311485)",
24850897,False,,,Calle Academia,residential,137.703,"LINESTRING (-99.129142 19.4312838, -99.1289755 19.4325122)",
618098739,True,2,EJE 1A SUR,Calle Topacio,trunk,9.763,"LINESTRING (-99.1280184 19.4258969, -99.1280095 19.4259843)",
854269187,True,3,EJE 1A SUR,Avenida San Pablo,trunk,88.824,"LINESTRING (-99.1280184 19.4258969, -99.12884819999999 19.4260572)",60
688753795,True,3,EJE 1A SUR,Avenida San Pablo,trunk,87.933,"LINESTRING (-99.1280095 19.4259843, -99.12883239999999 19.4261363)",
24850566,True,,,Calle Corregidora,residential,95.817,"LINESTRING (-99.1310663 19.4315329, -99.130162 19.4314093)",
24866661,False,,,Calle Maestro Erasmo Castellanos,residential,102.94,"LINESTRING (-99.1310663 19.4315329, -99.1312099 19.4306171)",
24866661,False,,,Calle Maestro Erasmo Castellanos,residential,102.94,"LINESTRING (-99.1312099 19.4306171, -99.1310663 19.4315329)",
4780792,True,2,,Calle Venustiano Carranza,residential,96.531,"LINESTRING (-99.1312099 19.4306171, -99.1308844 19.4305719, -99.13029830000001 19.4304964)",
24866685,False,,,Primer Callejón Mesones,residential,86.44,"LINESTRING (-99.1358541 19.4285369, -99.1359611 19.4277661)",
24836487,True,2,,Calle Mesones,residential,119.805,"LINESTRING (-99.1358541 19.4285369, -99.13624849999999 19.4285761, -99.13699029999999 19.4286498)",
24866685,False,,,Primer Callejón Mesones,residential,86.44,"LINESTRING (-99.1359611 19.4277661, -99.1358541 19.4285369)",
618098739,True,2,EJE 1A SUR,Calle Topacio,trunk,108.53300000000002,"LINESTRING (-99.12816290000001 19.4244927, -99.12813079999999 19.424805, -99.1281018 19.4250868, -99.1280854 19.4252463, -99.128063 19.4254642)",
618098739,True,2,EJE 1A SUR,Calle Topacio,trunk,48.341,"LINESTRING (-99.128063 19.4254642, -99.1280184 19.4258969)",
904251241,True,2,,Calle General Gabriel Hernández,residential,16.394,"LINESTRING (-99.14745550000001 19.425305, -99.1474154 19.4254475)",
"[904253008, 866463954]",True,3,EJE 1 SUR,Avenida Doctor Río de la Loza,trunk,104.32900000000001,"LINESTRING (-99.14745550000001 19.425305, -99.1466255 19.425195, -99.1464708 19.4251713)",
361358030,True,,,Calle Independencia,residential,75.544,"LINESTRING (-99.14679649999999 19.4337124, -99.147507 19.4338248)",
79431129,True,,,Calle Azueta,residential,163.474,"LINESTRING (-99.14679649999999 19.4337124, -99.14653819999999 19.4350839, -99.14652390000001 19.4351599)",
859448271,True,2,,Calle Articulo 123,residential,11.283000000000001,"LINESTRING (-99.14778459999999 19.4329384, -99.1477604 19.432935, -99.1476782 19.4329233)",
618043858,True,3,,Avenida José María Pino Suárez,tertiary,98.472,"LINESTRING (-99.132723 19.4282505, -99.1328456 19.4273725)",
24836487,True,2,,Calle Mesones,residential,129.40699999999998,"LINESTRING (-99.132723 19.4282505, -99.13276569999999 19.4282539, -99.13389239999999 19.4283433, -99.13395269999999 19.4283481)",
618028623,True,2,,Calle Luis Moya,tertiary,87.107,"LINESTRING (-99.1453139 19.4317944, -99.1451972 19.43257)",
24836282,True,,,Calle Victoria,residential,116.719,"LINESTRING (-99.1453139 19.4317944, -99.1456062 19.4318395, -99.1464124 19.4319638)",
"[887431154, 432046500]",True,5,,Plaza de la Constitución,tertiary,108.906,"LINESTRING (-99.1334232 19.4320016, -99.13269 19.4319027, -99.1325387 19.4318798, -99.1323964 19.4318552)",
187679421,True,2,,Calle 5 de Mayo,tertiary,159.067,"LINESTRING (-99.1407683 19.4348047, -99.1406075 19.4347901, -99.1402265 19.434742, -99.1401836 19.4347365, -99.1399406 19.4347058, -99.13926410000001 19.4346203)",
618028624,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,151.62,"LINESTRING (-99.1407683 19.4348047, -99.1407579 19.4348721, -99.1405843 19.4360647, -99.14057099999999 19.4361555)",
618043858,True,3,,Avenida José María Pino Suárez,tertiary,34.746,"LINESTRING (-99.1326703 19.428559, -99.132723 19.4282505)",
217324796,False,,,Callejón del Conde,residential,104.882,"LINESTRING (-99.1326703 19.428559, -99.1322515 19.428519, -99.1322181 19.428524, -99.1321915 19.4285438, -99.1321787 19.4285733, -99.1321157 19.4290199)",
846008894,True,2,,Calle República de El Salvador,residential,46.587,"LINESTRING (-99.1321157 19.4290199, -99.1316771 19.4289532)",
217324796,False,,,Callejón del Conde,residential,104.882,"LINESTRING (-99.1321157 19.4290199, -99.1321787 19.4285733, -99.1321915 19.4285438, -99.1322181 19.428524, -99.1322515 19.428519, -99.1326703 19.428559)",
217481079,False,,,Calle Cristóbal Colón,residential,107.272,"LINESTRING (-99.1461193 19.4358617, -99.1471347 19.4359792)",
124181617,False,,,Calle Doctor Mora,residential,82.79299999999999,"LINESTRING (-99.1461193 19.4358617, -99.1461968 19.4354776, -99.14624739999999 19.4352097, -99.1462626 19.4351295)",
616921713,True,3,,Avenida Juárez,secondary,53.612,"LINESTRING (-99.1462626 19.4351295, -99.1457583 19.4350501)",
